  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   2.200000e+00,   1.000000e-04,   0.000000e+00,   0.000000e+00,   0.000000e+00,   3.674659e+00
  2.980000e+02,   2.651250e+00,   1.690796e-02,   1.396605e-01,   7.163117e-04,   3.606031e-02,   2.118668e-01
  2.980000e+02,   2.655000e+00,   6.735876e-02,   1.394448e-01,   7.155127e-04,   7.238299e-02,   4.223667e-01
  2.980000e+02,   2.658750e+00,   1.180478e-01,   1.392566e-01,   7.147161e-04,   9.617958e-02,   5.574223e-01
  2.980000e+02,   2.662500e+00,   1.689754e-01,   1.390960e-01,   7.139221e-04,   1.154737e-01,   6.647538e-01
  2.980000e+02,   2.666250e+00,   2.201419e-01,   1.389629e-01,   7.131305e-04,   1.322514e-01,   7.562795e-01
  2.980000e+02,   2.670000e+00,   2.715621e-01,   1.388572e-01,   7.123414e-04,   1.473793e-01,   8.372399e-01
  2.980000e+02,   2.673750e+00,   3.232550e-01,   1.387790e-01,   7.115547e-04,   1.613275e-01,   9.104999e-01
  2.980000e+02,   2.677500e+00,   3.752226e-01,   1.387282e-01,   7.107704e-04,   1.743802e-01,   9.778074e-01
  2.980000e+02,   2.681250e+00,   4.274667e-01,   1.387049e-01,   7.099886e-04,   1.867264e-01,   1.040333e+00
  2.980000e+02,   2.685000e+00,   4.799894e-01,   1.387089e-01,   7.092091e-04,   1.984988e-01,   1.098906e+00
  2.980000e+02,   2.688750e+00,   5.327923e-01,   1.387404e-01,   7.084321e-04,   2.097950e-01,   1.154141e+00
  2.980000e+02,   2.692500e+00,   5.858775e-01,   1.387992e-01,   7.076574e-04,   2.206888e-01,   1.206507e+00
  2.980000e+02,   2.696250e+00,   6.392468e-01,   1.388855e-01,   7.068851e-04,   2.312380e-01,   1.256374e+00
  2.980000e+02,   2.700000e+00,   6.929021e-01,   1.389991e-01,   7.061151e-04,   2.414885e-01,   1.304038e+00
  2.980000e+02,   2.703750e+00,   7.468451e-01,   1.391401e-01,   7.053475e-04,   2.514775e-01,   1.349742e+00
  2.980000e+02,   2.707500e+00,   8.010779e-01,   1.393085e-01,   7.045822e-04,   2.612358e-01,   1.393687e+00
  2.980000e+02,   2.711250e+00,   8.556021e-01,   1.395043e-01,   7.038192e-04,   2.707890e-01,   1.436043e+00
  2.980000e+02,   2.715000e+00,   9.104197e-01,   1.397274e-01,   7.030584e-04,   2.801588e-01,   1.476954e+00
  2.980000e+02,   2.718750e+00,   9.655324e-01,   1.399779e-01,   7.023000e-04,   2.893637e-01,   1.516545e+00
  2.980000e+02,   2.722500e+00,   1.020942e+00,   1.402558e-01,   7.015438e-04,   2.984195e-01,   1.554923e+00
  2.980000e+02,   2.726250e+00,   1.076651e+00,   1.405610e-01,   7.007899e-04,   3.073400e-01,   1.592182e+00
  2.980000e+02,   2.730000e+00,   1.132660e+00,   1.408936e-01,   7.000383e-04,   3.161374e-01,   1.628406e+00
  2.980000e+02,   2.733750e+00,   1.188971e+00,   1.412535e-01,   6.992888e-04,   3.248221e-01,   1.663668e+00
  2.980000e+02,   2.737500e+00,   1.245587e+00,   1.416408e-01,   6.985416e-04,   3.334037e-01,   1.698033e+00
