  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   2.650000e+00,   1.439147e-04,   1.397385e-01,   7.165786e-04,   0.000000e+00,   3.674659e+00
  2.980853e+02,   2.651250e+00,   1.703598e-02,   1.397400e-01,   7.165784e-04,   1.733597e-03,   3.676959e+00
  2.983410e+02,   2.655000e+00,   6.787035e-02,   1.397627e-01,   7.165782e-04,   6.937594e-03,   3.683863e+00
  2.985964e+02,   2.658750e+00,   1.189424e-01,   1.398124e-01,   7.165791e-04,   1.214640e-02,   3.690771e+00
  2.988504e+02,   2.662500e+00,   1.702524e-01,   1.398894e-01,   7.165719e-04,   1.736002e-02,   3.697685e+00
  2.991038e+02,   2.666250e+00,   2.218011e-01,   1.399937e-01,   7.165623e-04,   2.257846e-02,   3.704604e+00
  2.993572e+02,   2.670000e+00,   2.736035e-01,   1.401254e-01,   7.165548e-04,   2.780244e-02,   3.711626e+00
  2.996109e+02,   2.673750e+00,   3.256787e-01,   1.402846e-01,   7.165500e-04,   3.303293e-02,   3.718813e+00
  2.998650e+02,   2.677500e+00,   3.780289e-01,   1.404713e-01,   7.165482e-04,   3.827000e-02,   3.726107e+00
  3.001195e+02,   2.681250e+00,   4.306563e-01,   1.406858e-01,   7.165497e-04,   4.351372e-02,   3.733477e+00
  3.003747e+02,   2.685000e+00,   4.835628e-01,   1.409282e-01,   7.165550e-04,   4.876416e-02,   3.740908e+00
  3.006306e+02,   2.688750e+00,   5.367506e-01,   1.411984e-01,   7.165644e-04,   5.402139e-02,   3.748387e+00
  3.008873e+02,   2.692500e+00,   5.902218e-01,   1.414967e-01,   7.165783e-04,   5.928548e-02,   3.755909e+00
  3.011451e+02,   2.696250e+00,   6.439784e-01,   1.418232e-01,   7.165971e-04,   6.455650e-02,   3.763469e+00
  3.014040e+02,   2.700000e+00,   6.980224e-01,   1.421779e-01,   7.166212e-04,   6.983451e-02,   3.771064e+00
  3.016641e+02,   2.703750e+00,   7.523560e-01,   1.425610e-01,   7.166509e-04,   7.511959e-02,   3.778690e+00
  3.019256e+02,   2.707500e+00,   8.069812e-01,   1.429727e-01,   7.166867e-04,   8.041179e-02,   3.786347e+00
  3.021887e+02,   2.711250e+00,   8.619000e-01,   1.434129e-01,   7.167289e-04,   8.571119e-02,   3.794032e+00
  3.024534e+02,   2.715000e+00,   9.171145e-01,   1.438819e-01,   7.167779e-04,   9.101784e-02,   3.801745e+00
  3.027199e+02,   2.718750e+00,   9.726267e-01,   1.443798e-01,   7.168341e-04,   9.633182e-02,   3.809485e+00
  3.029883e+02,   2.722500e+00,   1.028439e+00,   1.449066e-01,   7.168980e-04,   1.016532e-01,   3.817252e+00
  3.032588e+02,   2.726250e+00,   1.084552e+00,   1.454626e-01,   7.169699e-04,   1.069820e-01,   3.825044e+00
  3.035315e+02,   2.730000e+00,   1.140970e+00,   1.460478e-01,   7.170503e-04,   1.123183e-01,   3.832861e+00
  3.038065e+02,   2.733750e+00,   1.197693e+00,   1.466623e-01,   7.171395e-04,   1.176621e-01,   3.840703e+00
  3.040840e+02,   2.737500e+00,   1.254724e+00,   1.473064e-01,   7.172380e-04,   1.230136e-01,   3.848569e+00
